Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Loss	Loss_critic	Learning_rate	Exploration
0.7400424480438232	0	9.02	5.856586036250129	27.0	3.0	9.02	5.856586036250129	1.0000408	0.7006606	0.0005	1.0
1.1090633869171143	1	9.04	4.103461953034291	23.0	4.0	9.04	4.103461953034291	0.9971429	0.5601363	0.0005	0.991
1.4380824565887451	2	7.08	3.2731636072766057	21.0	3.0	7.08	3.2731636072766057	0.99246234	0.37593743	0.0005	0.982
1.8061034679412842	3	8.2	6.092618484691127	40.0	3.0	8.2	6.092618484691127	0.985868	0.21791366	0.0005	0.973
2.1171209812164307	4	7.68	4.235280392134623	21.0	3.0	7.68	4.235280392134623	0.9765673	0.22698092	0.0005	0.964
2.4461400508880615	5	8.26	3.9131061830724705	18.0	3.0	8.26	3.9131061830724705	0.96535856	0.34859785	0.0005	0.955
2.758157968521118	6	7.58	3.894046738291671	19.0	3.0	7.58	3.894046738291671	0.95089835	0.63490915	0.0005	0.946
3.085176706314087	7	8.28	4.190656273186814	20.0	4.0	8.28	4.190656273186814	0.93662554	1.0442516	0.0005	0.9369999999999999
3.4211957454681396	8	8.46	4.996839000808412	28.0	3.0	8.46	4.996839000808412	0.92276746	1.6910518	0.0005	0.9279999999999999
3.7902169227600098	9	9.3	4.596737973824481	25.0	4.0	9.3	4.596737973824481	0.91085494	1.9763584	0.0005	0.919
4.087233781814575	10	7.28	3.7791004220581383	19.0	3.0	7.28	3.7791004220581383	0.8942053	2.8893244	0.0005	0.91
4.46025538444519	11	9.48	5.397184451174519	26.0	3.0	9.48	5.397184451174519	0.8891359	3.0115213	0.0005	0.901
4.780273675918579	12	7.8	3.487119154832539	21.0	3.0	7.8	3.487119154832539	0.8754961	3.6638327	0.0005	0.892
5.118292808532715	13	8.48	4.369164679890196	24.0	3.0	8.48	4.369164679890196	0.8680317	4.6352763	0.0005	0.883
5.454312086105347	14	8.52	4.364584745425388	28.0	3.0	8.52	4.364584745425388	0.8603712	5.1811686	0.0005	0.874
5.7913312911987305	15	8.44	4.355043053748148	23.0	3.0	8.44	4.355043053748148	0.8527122	5.357573	0.0005	0.865
6.096348762512207	16	7.74	3.745984516785941	23.0	3.0	7.74	3.745984516785941	0.84307575	5.643865	0.0005	0.856
6.43336820602417	17	8.08	3.903024468280977	17.0	3.0	8.08	3.903024468280977	0.83818483	6.4324327	0.0005	0.847
6.749386310577393	18	7.9	3.4942810419312296	17.0	3.0	7.9	3.4942810419312296	0.83186466	6.479455	0.0005	0.838
7.117407321929932	19	9.12	6.2821652318289125	35.0	4.0	9.12	6.2821652318289125	0.82997614	6.416184	0.0005	0.829
7.4594268798828125	20	8.76	5.897660553134607	34.0	3.0	8.76	5.897660553134607	0.82421887	7.9700556	0.0005	0.82
7.796446084976196	21	8.5	6.20403094769844	45.0	3.0	8.5	6.20403094769844	0.8183313	8.159639	0.0005	0.8109999999999999
8.108464002609253	22	7.9	4.8425200051213	25.0	3.0	7.9	4.8425200051213	0.81176287	9.076461	0.0005	0.802
8.431482553482056	23	8.22	4.797040754465194	28.0	3.0	8.22	4.797040754465194	0.80959165	9.21165	0.0005	0.7929999999999999
