Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Loss	Learning_rate	Exploration
55.17515563964844	0	511.75620075715426	51.79641884600561	600.4910444316512	425.9811868343466	200.0	0.0	143.33157	0.0005	1.0
112.34142541885376	1	493.966178922548	52.126446272566184	585.9208339859574	415.7149405606597	200.0	0.0	-7.751465e-06	0.0005	0.991
169.02966785430908	2	502.47217081654105	69.59480956957555	700.1405119039605	384.8280971422034	200.0	0.0	-9.765625e-07	0.0005	0.982
219.59995698928833	3	506.5533093534024	55.21339456055585	665.3978744056275	453.68631468818757	200.0	0.0	-7.9345705e-07	0.0005	0.973
251.6557903289795	4	472.73889306443	37.86520503160096	576.625617323896	387.3181389270993	200.0	0.0	-4.394531e-06	0.0005	0.964
283.0975887775421	5	482.78059721908096	47.15823407796695	546.5087348017137	358.35723223534137	200.0	0.0	-4.882813e-07	0.0005	0.955
316.51069831848145	6	487.820724215486	47.71621446773749	561.9489626299562	398.06198337070236	200.0	0.0	7.598877e-06	0.0005	0.946
350.1626229286194	7	508.8426056066025	65.30377378362326	708.5693323012231	420.55427421910656	200.0	0.0	-2.4414064e-07	0.0005	0.9369999999999999
382.6544814109802	8	493.67860539643425	56.394916031510675	621.9241143429592	394.3978820978343	200.0	0.0	7.2631838e-06	0.0005	0.9279999999999999
415.3783531188965	9	481.7346235210283	41.25516005368005	571.3915412463468	399.3727455458551	200.0	0.0	5.9509275e-06	0.0005	0.919
448.2682342529297	10	494.8358176852731	38.56070999326119	597.7843691110893	426.1720930385862	200.0	0.0	-4.394531e-06	0.0005	0.91
482.0151643753052	11	496.8912596260592	66.61437282350533	678.5776278977411	394.3816941725955	200.0	0.0	-1.3275146e-06	0.0005	0.901
515.9571058750153	12	507.15679782499853	65.56934085023357	663.7181685476567	426.36622378166487	200.0	0.0	3.692627e-06	0.0005	0.892
549.0219969749451	13	517.8358499449588	54.960770187676374	664.4679951393883	437.2345300974613	200.0	0.0	2.8076172e-06	0.0005	0.883
581.0268275737762	14	499.77876075119775	42.07368855576967	576.9622565395853	405.18061228467445	200.0	0.0	-6.225586e-06	0.0005	0.874
612.7356412410736	15	478.33640470297513	44.51848051411996	594.9070812286928	387.3381533495914	200.0	0.0	-3.3187866e-06	0.0005	0.865
644.993262052536	16	513.437112729105	67.06119447559416	662.9903023915019	425.7499963277729	200.0	0.0	-5.6152344e-06	0.0005	0.856
676.1930465698242	17	488.6958262286456	50.66998424129318	582.3026894807756	400.81915700797254	200.0	0.0	4.364014e-06	0.0005	0.847
708.1088721752167	18	513.5662071574558	53.75621568629	609.256897334473	427.03338451819315	200.0	0.0	1.8920898e-06	0.0005	0.838
739.6796779632568	19	502.5476843844552	63.68688485014082	677.7693478261721	378.6386657893702	200.0	0.0	1.7089844e-06	0.0005	0.829
773.52361369133	20	509.81994636157816	56.879037726155524	654.5182330863613	431.97099121716553	200.0	0.0	-2.4871827e-06	0.0005	0.82
805.675452709198	21	486.9185486053624	59.11054911610412	614.4902673716172	395.31608534396753	200.0	0.0	2.822876e-06	0.0005	0.8109999999999999
837.8502926826477	22	492.8179235926506	50.157260993513155	644.1653263342421	413.470798099484	200.0	0.0	-3.540039e-06	0.0005	0.802
870.1621408462524	23	544.482485685088	55.390419545312305	682.7395239276602	482.4149726988258	200.0	0.0	2.0751954e-06	0.0005	0.7929999999999999
901.988137960434	24	506.13644553556117	76.2429651907156	707.8846763275492	373.83822913914946	200.0	0.0	-6.9885255e-06	0.0005	0.784
933.8519606590271	25	513.783129889939	61.33156570928223	648.4762561223956	360.2206530920258	200.0	0.0	-2.4414064e-07	0.0005	0.775
966.71803855896	26	505.69626714364506	50.1923048514516	632.4524383153844	426.612500817541	200.0	0.0	2.0751954e-06	0.0005	0.766
998.993884563446	27	477.400017370185	46.19814894929254	565.3113601164157	416.86324155788105	200.0	0.0	9.765625e-07	0.0005	0.757
1030.7547013759613	28	524.6684724298805	48.996986089290274	640.1496708996294	454.375804434213	200.0	0.0	-4.150391e-06	0.0005	0.748
1063.0235469341278	29	529.7812052453195	55.011383244173516	621.8564736175476	424.1756801582902	200.0	0.0	2.1972655e-06	0.0005	0.739
1095.1993873119354	30	507.5039615475151	48.64759363604596	629.0534994682685	446.02953441089414	200.0	0.0	-5.493164e-07	0.0005	0.73
1127.3810255527496	31	515.7245034266341	54.289094171255734	609.4238593054722	393.69569278659435	200.0	0.0	-2.3193359e-06	0.0005	0.721
1159.2998509407043	32	528.0571639268697	52.085148782122644	664.0113341065789	457.46724530054325	200.0	0.0	-2.2888185e-06	0.0005	0.712
1192.1457297801971	33	526.0160286214502	74.7848726258959	677.4681845755224	424.31297757798677	200.0	0.0	7.6293945e-06	0.0005	0.703
1224.558583498001	34	530.5751517312895	59.03594457929537	644.2098650960249	434.4151203210006	200.0	0.0	-7.141113e-06	0.0005	0.694
1257.4610559940338	35	551.7399882603218	60.462458771352416	680.0366880782829	465.08354515901055	200.0	0.0	-3.4179689e-06	0.0005	0.685
1291.9090263843536	36	524.0486448606098	72.31449876505192	660.633364637006	355.95820935407414	200.0	0.0	1.2207032e-07	0.0005	0.6759999999999999
1324.2048735618591	37	537.4171526717012	56.87958132118487	663.4752656241556	435.65264849762434	200.0	0.0	4.394531e-06	0.0005	0.667
1356.870935678482	38	552.0690923994193	41.64301935546415	683.6542229959593	488.0138466573339	200.0	0.0	6.103516e-08	0.0005	0.6579999999999999
1389.2267866134644	39	530.8401925642487	68.42761781829527	708.2465571274527	445.58580589197436	200.0	0.0	-7.019043e-06	0.0005	0.649
1421.6666419506073	40	579.2485448392844	65.10416822164014	716.6998562625225	473.81527679983657	200.0	0.0	-5.8288574e-06	0.0005	0.6399999999999999
1453.778478860855	41	551.9984221133917	58.12562983411262	693.6604385628234	455.5227555943036	200.0	0.0	-3.2958985e-06	0.0005	0.631
1485.5572962760925	42	537.2789029937105	72.60741570229808	650.6264385023971	347.51611305411916	200.0	0.0	-4.486084e-06	0.0005	0.622
1517.524124622345	43	531.3561161330384	63.86733813608695	680.4447961256885	428.12064763938434	200.0	0.0	-8.544922e-07	0.0005	0.613
1549.5939588546753	44	545.0557926818522	59.306485115504586	670.1035794743366	456.4509154233024	200.0	0.0	-5.6152344e-06	0.0005	0.604
1581.7337973117828	45	550.9979119027263	69.98641233722569	662.1716915882901	433.67623647871824	200.0	0.0	2.5634765e-06	0.0005	0.595
1613.7876307964325	46	551.3586286367915	65.30999569897203	651.1056997256605	425.16189521789516	200.0	0.0	-6.286621e-06	0.0005	0.586
1646.1534819602966	47	542.9768151895388	78.40682545430582	704.6002153602576	407.8848333280057	200.0	0.0	1.4038086e-06	0.0005	0.577
1678.2803194522858	48	546.3226692915634	55.50561364758367	649.5847706439648	449.38056680618934	200.0	0.0	5.859375e-06	0.0005	0.5680000000000001
1710.4131574630737	49	540.8021221084056	70.08736564002626	683.1067486236103	435.27509678497063	200.0	0.0	-3.90625e-06	0.0005	0.5589999999999999
1742.947018146515	50	585.632766596833	76.60190330488106	742.1525018601055	433.56185295812736	200.0	0.0	1.7089844e-06	0.0005	0.55
1775.2258644104004	51	557.6572600191723	65.99095269316035	662.5279414931687	421.61578345197677	200.0	0.0	-7.69043e-06	0.0005	0.5409999999999999
1807.399704694748	52	581.2343964307792	55.48492251138827	668.7661233555627	460.3820953898125	200.0	0.0	5.7373045e-06	0.0005	0.532
1839.714553117752	53	583.242121367826	68.94047907062755	681.0845823386239	478.74920081955133	200.0	0.0	4.272461e-07	0.0005	0.5229999999999999
