Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Loss
81.45465922355652	0	493.15473412572317	90.68114899429634	650.8320428163423	303.4534819103132	250.0	0.0	122.58331
146.775395154953	1	450.7150560425687	66.94830149257592	586.3014222064111	359.2915053115307	250.0	0.0	5.859375e-07
207.52086973190308	2	465.21633659250494	79.29640157502564	603.0319809308072	312.17696432832724	250.0	0.0	1.3020833e-07
268.6973686218262	3	502.38642990163225	84.65436133650165	612.8607504451301	358.24868179179515	250.0	0.0	-1.8229167e-06
329.2838339805603	4	502.65380749674097	81.82574897815331	699.903747889173	366.5812177868258	250.0	0.0	3.125e-06
393.1884889602661	5	507.7518839779853	66.40120553097465	630.0047287435291	400.92170137254504	250.0	0.0	2.734375e-06
454.6620054244995	6	502.75740346131107	71.07741243068436	612.1529624091017	379.12079826692195	250.0	0.0	-3.6458334e-06
523.5199437141418	7	520.991096203802	84.96116576146689	713.6726997961424	371.2910023296537	250.0	0.0	-7.682292e-06
574.1908419132233	8	520.6033512991855	68.08953646492841	621.0037600713769	379.22523486535346	250.0	0.0	2.0833334e-06
622.5306069850922	9	512.0827237224992	66.14754329048252	600.4271396790065	376.37669284003084	250.0	0.0	1.0416667e-06
671.1453874111176	10	515.8576745962231	67.08073482594942	633.1799643722686	375.64942004670456	250.0	0.0	-3.2552084e-06
719.8481731414795	11	511.1770671616852	73.43770204547245	660.1746835074102	368.4288385776698	250.0	0.0	-3.125e-06
768.3179454803467	12	537.3045541965473	57.488194598987256	612.0862220587856	401.31446849843536	250.0	0.0	3.2552084e-06
816.9637277126312	13	524.2083081479838	54.15516465695597	605.8996670758047	408.80710928232367	250.0	0.0	4.6875e-06
865.535505771637	14	540.5013529763055	49.017709145601664	613.5473199964463	395.67452426153517	250.0	0.0	-1.3020833e-06
914.4583041667938	15	551.1580967930581	69.63224148069695	672.0267395202445	398.4247771356636	250.0	0.0	2.34375e-06
963.50110912323	16	536.4785847915076	62.72534408696106	673.5816467935899	369.5328130131568	250.0	0.0	6.9010416e-06
1013.4549663066864	17	522.8671893736173	57.48111257370885	611.7609580705932	365.6919652724782	250.0	0.0	-6.25e-06
1062.2307562828064	18	546.7224991006644	56.38769980285839	613.8923094031314	388.3543606937968	250.0	0.0	-4.8177085e-06
1111.1855564117432	19	529.5172042697432	59.984285072168284	653.2313962430374	393.04212851194563	250.0	0.0	1.5625e-06
1162.6895020008087	20	530.5820800353221	50.11611777025252	638.6976694482333	425.0366156050577	250.0	0.0	-4.980469e-06
1213.7594230175018	21	515.9592115606042	42.43441597422079	568.547233836309	411.80622795669944	250.0	0.0	-5.2083334e-07
1262.512211561203	22	526.4910226865043	47.761684411087515	663.2438173979781	441.08350671410756	250.0	0.0	1.0416667e-06
1311.305002450943	23	528.2495806494424	62.26324766582781	611.7748348039374	370.8249092295998	250.0	0.0	1.171875e-06
1360.338807106018	24	501.4599147647689	59.536588528678	607.5611324222024	356.26496983618495	250.0	0.0	-2.6041666e-06
1409.3356094360352	25	495.395255732669	47.575326678341085	591.635919247281	413.3853962656964	250.0	0.0	-3.125e-06
1458.3694140911102	26	494.2012474886978	46.69885911250349	593.2950128285064	390.58775511947283	250.0	0.0	9.1145836e-07
1507.6652338504791	27	483.55464057737976	39.60183837298436	555.0532946158429	369.42152609525465	250.0	0.0	-3.515625e-06
1556.9330515861511	28	497.07425034089835	36.36792352394001	558.3438175875781	416.29310098671965	250.0	0.0	3.2877604e-06
1605.80384683609	29	487.69103955704	36.509618603448125	557.0394013178327	428.04777660792627	250.0	0.0	4.6875e-06
1654.4136271476746	30	476.9898791196719	34.3058863898032	544.8920526347405	412.68590706182454	250.0	0.0	-2.9947917e-06
1703.3804278373718	31	476.9487460588697	32.699396672530696	548.4706588891984	418.26729335739896	250.0	0.0	2.2786458e-06
1752.6102437973022	32	482.4944920139976	32.19909393157371	544.2550973843812	430.0100130269433	250.0	0.0	1.6927083e-06
1801.6240470409393	33	479.7667774075922	27.226692195003242	545.6988288373159	433.94235604936915	250.0	0.0	7.8125e-07
1850.8528628349304	34	477.3458536810318	28.627382732549545	551.7217641389508	435.84925953540477	250.0	0.0	-5.859375e-07
1900.0316758155823	35	477.1096381310661	34.81179248692986	535.5133836305848	419.25154389001466	250.0	0.0	-1.2369792e-06
1949.52250623703	36	481.334441577147	33.62383799665754	544.9586932672248	417.3325972529147	250.0	0.0	-2.6041666e-06
1999.6433732509613	37	468.15335216783865	23.32506957742403	524.7612317749847	431.79618493116993	250.0	0.0	5.2083334e-07
2049.198207616806	38	480.00763483345236	42.14671948872752	576.6861189170584	421.23608963553636	250.0	0.0	-3.2552084e-06
2098.615033864975	39	471.84772150412584	39.59313775505823	557.1761770138912	404.9600138032249	250.0	0.0	1.5625e-06
2148.195869922638	40	482.05031911584405	41.49787437348363	560.9261968520597	421.61767407886134	250.0	0.0	1.171875e-06
2197.747704267502	41	482.0622259157759	34.857461752540324	537.725385964663	429.43933983790646	250.0	0.0	-7.8125e-07
2247.4545471668243	42	476.39645064770923	43.86293478932993	565.5583802185863	412.7775114582789	250.0	0.0	8.4635417e-07
2297.026382446289	43	486.654606069386	40.47556220758729	540.7244949880145	402.7866178362715	250.0	0.0	-5.2083334e-07
2346.721224784851	44	498.5758337760353	40.21885801795263	585.1141901944934	416.19478547686015	250.0	0.0	-2.9947917e-06
2396.3900656700134	45	485.33509300959525	39.47152736528406	543.8846553693552	410.7983474460608	250.0	0.0	2.8645834e-06
