Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Loss	Learning_rate	Exploration
538.3507919311523	0	295.01696541149374	47.53774630159364	445.58873355164303	191.63798540368913	200.0	0.0	80.38373	0.0005	1.0
1085.0230598449707	1	319.7865956670352	47.272042044883904	444.61688420900646	208.50075155930512	200.0	0.0	-1.5136719e-06	0.0005	0.91
1645.263103723526	2	350.3352857009276	50.43142947540813	494.468725635445	231.05621261647596	200.0	0.0	-1.4648438e-07	0.0005	0.82
2216.53977894783	3	377.52125872139897	49.26479337030114	487.0508496822853	255.13335671231278	200.0	0.0	7.8125e-07	0.0005	0.73
2795.8769149780273	4	397.8064252696293	47.56856615543022	530.5761925606096	259.73983896676356	200.0	0.0	9.277344e-07	0.0005	0.6399999999999999
3383.3735179901123	5	413.06780227104224	45.34960357878078	524.8005748437273	290.97828967557314	200.0	0.0	-2.2216798e-06	0.0005	0.55
3978.974584341049	6	431.95559458667185	43.171368658197174	620.2161785914159	288.57324944397067	200.0	0.0	1.171875e-06	0.0005	0.45999999999999996
4584.348209619522	7	447.39591717943046	41.72285946492539	697.9934284417454	341.3009337380413	200.0	0.0	1.1352539e-06	0.0005	0.37
5199.663403749466	8	457.85297875341786	39.425395272401786	641.4311055148153	325.49010678324885	200.0	0.0	5.2368164e-06	0.0005	0.2799999999999999
5823.309074163437	9	464.81043909264	44.98290062270727	674.5536442689825	338.1258619215729	200.0	0.0	-1.5625e-06	0.0005	0.18999999999999995
6461.221560716629	10	481.56109101439523	48.8831329103234	691.995605021702	361.4698869898182	200.0	0.0	4.199219e-06	0.0005	0.09999999999999998
7100.240110635757	11	479.4895737895102	52.018850987885294	709.9565658059602	342.85257601069196	200.0	0.0	-3.8085936e-06	0.0005	0.09999999999999998
7743.489902496338	12	478.47252093441784	49.14288397212094	651.9700946787899	363.96304414877625	200.0	0.0	-7.763672e-06	0.0005	0.09999999999999998
8395.323184967041	13	481.5013161149566	50.92628120870648	696.0168080007503	372.75375163171327	200.0	0.0	1.4404297e-06	0.0005	0.09999999999999998
9041.56614780426	14	484.09966522768167	53.26306959395248	716.8535006635108	364.21499670580124	200.0	0.0	-5.078125e-06	0.0005	0.09999999999999998
9688.17913222313	15	483.67447115253987	53.423641199512296	707.4631738906266	355.77040204074103	200.0	0.0	5.078125e-06	0.0005	0.09999999999999998
10338.000299930573	16	485.2122049421487	51.356716447109655	711.9339681675613	355.6784273090216	200.0	0.0	2.0507812e-06	0.0005	0.09999999999999998
11002.342297792435	17	488.2561590667324	56.10647374503451	712.6973126265232	356.50034702069917	200.0	0.0	-6.1523438e-06	0.0005	0.09999999999999998
11654.077575206757	18	487.08996416963635	54.49027943505938	700.8012134508474	353.5889805444939	200.0	0.0	-3.2470703e-06	0.0005	0.09999999999999998
12304.572781324387	19	488.16377812631356	52.177306853931306	695.9866317004258	341.95627897843497	200.0	0.0	-4.8828124e-06	0.0005	0.09999999999999998
